"Start.Date","Month","Year","Report.Type","Security.Type","Avg.Trade.Size","PCT.of.CUSIPs","PCT.of.Par.Traded","PCT.of.Trade.Count","period"
"2000-06-01","June",2000,"Customer Bought Only","Bond",127035.004356529,0.92419224727211,0.299345859257435,0.921999674320143,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Bought Only","CP",7415094.81037924,0.00868254574788774,0.0542487277438078,0.00286255452994969,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Bought Only","Long Note",2211516.91876083,0.0140003396594914,0.0745351610023466,0.0131871773555367,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Bought Only","Long Variable",616338.17903596,0.00162399694306458,0.00588165824405163,0.00373389098866691,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Bought Only","Other",2405898.44834308,0.00465970364709379,0.0180231119534722,0.00293111871030777,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Bought Only","Short Note",2222973.01262626,0.00175136925232454,0.00642738779550837,0.00113130897590826,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Bought Only","Short Variable",3912705.71323064,0.0450897974780283,0.541538094003378,0.0541542751194874,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Only Buy and Sell","Bond",155047.081805661,0.923284248630251,0.293194982618276,0.905851303270045,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Only Buy and Sell","CP",7645507.87696924,0.00839063160897493,0.0437303969965086,0.00273994002141799,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Only Buy and Sell","Long Note",2345118.54045916,0.0135646904909454,0.0534728437226279,0.0109227616457728,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Only Buy and Sell","Long Variable",634090.230664858,0.0015836948288921,0.00401047188542623,0.00302976113396107,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Only Buy and Sell","Other",2601477.98921833,0.00514454904043832,0.0165653641474948,0.00305031582279392,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Only Buy and Sell","Short Note",2335351.7791411,0.00174108065039691,0.00490013559874529,0.00100512428392603,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Only Buy and Sell","Short Variable",3812146.76101932,0.0462911047501008,0.584125805030921,0.0734007938220827,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Sold Only","Bond",231681.195881969,0.936268068331143,0.284428089941759,0.864431743240273,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Sold Only","CP",8343012.08459214,0.00372764085923463,0.0287385377531264,0.00242544148897194,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Sold Only","Long Note",3228650.18194842,0.00616803883182708,0.0234525578442741,0.00511467721843629,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Sold Only","Long Variable",773023.952095808,0.00136769556705731,0.0013434553045061,0.00122371217117315,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Sold Only","Other",3039610.3231441,0.00372764085923463,0.0144876247756677,0.00335604894848685,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Sold Only","Short Note",2813867.8172043,0.000831344364289737,0.00272333107404467,0.000681468454605408,"Pre-Crisis"
"2000-06-01","June",2000,"Customer Sold Only","Short Variable",3698371.21499343,0.0479095711872134,0.644826403306622,0.122766908478054,"Pre-Crisis"
"2000-06-01","June",2000,"Interdealer Only","Bond",260905.904485297,0.98094134470771,0.933192281615032,0.985429472794094,"Pre-Crisis"
"2000-06-01","June",2000,"Interdealer Only","CP",NA,0,0,0,"Pre-Crisis"
"2000-06-01","June",2000,"Interdealer Only","Long Note",1532537.55656109,0.0115140905840874,0.0499772491833876,0.00898461638533841,"Pre-Crisis"
"2000-06-01","June",2000,"Interdealer Only","Long Variable",538424,0.00147932641337311,0.00397249503297939,0.00203271863921683,"Pre-Crisis"
"2000-06-01","June",2000,"Interdealer Only","Other",679132.075471698,0.000641041445795015,0.00106225566629318,0.000430936351513969,"Pre-Crisis"
"2000-06-01","June",2000,"Interdealer Only","Short Note",728794.117647059,0.000591730565349244,0.000731278356256008,0.000276449734933489,"Pre-Crisis"
"2000-06-01","June",2000,"Interdealer Only","Short Variable",1071180,0.00483246628368549,0.0110644401460514,0.00284580609490357,"Pre-Crisis"
"2000-06-01","June",2000,"Total Customer and Interdealer","Bond",177879.772153003,0.923553940956455,0.374435191833186,0.92190912148582,"Pre-Crisis"
"2000-06-01","June",2000,"Total Customer and Interdealer","CP",7645507.87696924,0.00833015947421361,0.0381793320051149,0.00218705649759227,"Pre-Crisis"
"2000-06-01","June",2000,"Total Customer and Interdealer","Long Note",2205236.62938152,0.0137110713971816,0.0530291186754385,0.0105316696609488,"Pre-Crisis"
"2000-06-01","June",2000,"Total Customer and Interdealer","Long Variable",620217.517401392,0.00157228097930644,0.00400565116595922,0.00282857119418535,"Pre-Crisis"
"2000-06-01","June",2000,"Total Customer and Interdealer","Other",2535190.19908913,0.0051172374730222,0.0145974249413941,0.00252175981755388,"Pre-Crisis"
"2000-06-01","June",2000,"Total Customer and Interdealer","Short Note",2230910.17208413,0.00172853250520025,0.00437094768639343,0.000858087433038827,"Pre-Crisis"
"2000-06-01","June",2000,"Total Customer and Interdealer","Short Variable",3785542.81297837,0.0459867772146212,0.511382333692514,0.0591637339108606,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Bought Only","Bond",121063.833817508,0.923190509244652,0.30105417445102,0.9256095108034,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Bought Only","CP",8575128.42892768,0.00811510064996529,0.0651994046436252,0.00283009213679014,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Bought Only","Long Note",1234705.39935351,0.0123430302265413,0.0398340005514479,0.012008483218824,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Bought Only","Long Variable",415005.174573055,0.00150186155108222,0.00207344612614375,0.00185967401008529,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Bought Only","Other",2728899.01806589,0.00552786016280684,0.0243447723128917,0.00332059438992459,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Bought Only","Short Note",1600411.37984496,0.00162806840411434,0.00391453306151449,0.000910428642508549,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Bought Only","Short Variable",3923864.99042904,0.047693569760838,0.563579668853357,0.0534612167984671,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Only Buy and Sell","Bond",151303.71743844,0.921857187273293,0.296555737109046,0.908279865103321,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Only Buy and Sell","CP",8558747.69230769,0.00756555083428335,0.0455236756463678,0.00246484748282191,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Only Buy and Sell","Long Note",1423240.25292026,0.0118722723137688,0.0305757001652718,0.00995545578190018,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Only Buy and Sell","Long Variable",417827.694767442,0.00148547345148029,0.00156822416596436,0.00173929750582715,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Only Buy and Sell","Other",2855692.97735072,0.0058958326136272,0.0226983112091268,0.00368336695638105,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Only Buy and Sell","Short Note",2216212.26168224,0.00155456523992124,0.00388095731963046,0.000811503632805982,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Only Buy and Sell","Short Variable",3800314.49885821,0.0497691182736265,0.599197394384593,0.0730656635369424,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Sold Only","Bond",233094.434537374,0.933550057005516,0.290458851359751,0.864502268695567,"Pre-Crisis"
"2000-07-01","July",2000,"Customer Sold Only","CP",8482809.24855491,0.00211074476935876,0.0188564882186312,0.00154217812603072,"Pre-Crisis"
